User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hello,Nothing much,2024-12-07 10:55:21
hello,"I'm fine, thank you",2024-12-07 17:14:10
hello,Hello,2024-12-07 17:52:03
hello,Hi there,2024-12-07 18:08:09
hello,Hello!,2024-12-07 18:28:42
hello,"Hi there, how can I help?",2024-12-07 18:57:23
hello,Hello!,2024-12-07 19:02:21
hello,Good to see you!,2024-12-07 19:04:06
hello,"Hi there, how can I help?",2024-12-07 19:08:24
